ID,name,price,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
1,alfa-romero giulia,13495,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
2,alfa-romero stelvio,16500,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
3,alfa-romero Quadrifoglio,16500,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26
4,audi 100 ls,13950,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30
5,audi 100ls,17450,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22
6,audi fox,15250,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25
7,audi 100ls,17710,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25
8,audi 5000,18920,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25
9,audi 4000,23875,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20
10,audi 5000s (diesel),17859.167,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22
11,bmw 320i,16430,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
12,bmw 320i,16925,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
13,bmw x1,20970,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28
14,bmw x3,21105,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28
15,bmw z4,24565,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25
16,bmw x4,30760,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22
17,bmw x5,41315,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22
18,bmw x3,36880,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20
19,chevrolet impala,5151,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53
20,chevrolet monte carlo,6295,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43
21,chevrolet vega 2300,6575,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43
22,dodge rampage,5572,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41
23,dodge challenger se,6377,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38
24,dodge d200,7957,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30
25,dodge monaco (sw),6229,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38
26,dodge colt hardtop,6692,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
27,dodge colt (sw),7609,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
28,dodge coronet custom,8558,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30
29,dodge dart custom,8921,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30
30,dodge coronet custom (sw),12964,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24
31,honda civic,6479,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54
32,honda civic cvcc,6855,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38
33,honda civic,5399,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42
34,honda accord cvcc,6529,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34
35,honda civic cvcc,7129,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34
36,honda accord lx,7295,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34
37,honda civic 1500 gl,7295,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34
38,honda accord,7895,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33
39,honda civic 1300,9095,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33
40,honda prelude,8845,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33
41,honda accord,10295,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33
42,honda civic,12945,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28
43,honda civic (auto),10345,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31
44,isuzu MU-X,6785,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29
45,isuzu D-Max ,8916.5,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43
46,isuzu D-Max V-Cross,8916.5,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43
47,isuzu D-Max ,11048,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29
48,jaguar xj,32250,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19
49,jaguar xf,35550,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19
50,jaguar xk,36000,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17
51,maxda rx3,5195,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31
52,maxda glc deluxe,6095,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38
53,mazda rx2 coupe,6795,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38
54,mazda rx-4,6695,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38
55,mazda glc deluxe,7395,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38
56,mazda 626,10945,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23
57,mazda glc,11845,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23
58,mazda rx-7 gs,13645,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23
59,mazda glc 4,15645,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23
60,mazda 626,8845,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32
61,mazda glc custom l,8495,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32
62,mazda glc custom,10595,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32
63,mazda rx-4,10245,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32
64,mazda glc deluxe,10795,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42
65,mazda 626,11245,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32
66,mazda glc,18280,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27
67,mazda rx-7 gs,18344,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,31,39
68,buick electra 225 custom,25552,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25
69,buick century luxus (sw),28248,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25
70,buick century,28176,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25
71,buick skyhawk,31600,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25
72,buick opel isuzu deluxe,34184,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18
73,buick skylark,35056,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18
74,buick century special,40960,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,14,16
75,buick regal sport coupe (turbo),45400,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,14,16
76,mercury cougar,16503,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,19,24
77,mitsubishi mirage,5389,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41
78,mitsubishi lancer,6189,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38
79,mitsubishi outlander,6669,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38
80,mitsubishi g4,7689,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30
81,mitsubishi mirage g4,9959,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30
82,mitsubishi g4,8499,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32
83,mitsubishi outlander,12629,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,19,24
84,mitsubishi g4,14869,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,19,24
85,mitsubishi mirage g4,14489,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,19,24
86,mitsubishi montero,6989,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32
87,mitsubishi pajero,8189,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32
88,mitsubishi outlander,9279,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30
89,mitsubishi mirage g4,9279,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30
90,Nissan versa,5499,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37
91,nissan gt-r,7099,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50
92,nissan rogue,6649,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37
93,nissan latio,6849,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37
94,nissan titan,7349,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37
95,nissan leaf,7299,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37
96,nissan juke,7799,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37
97,nissan latio,7499,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37
98,nissan note,7999,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37
99,nissan clipper,8249,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37
100,nissan rogue,8949,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34
101,nissan nv200,9549,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34
102,nissan dayz,13499,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,17,22
103,nissan fuga,14399,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,17,22
104,nissan otti,13499,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,19,25
105,nissan teana,17199,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,19,25
106,nissan kicks,19699,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23
107,nissan clipper,18399,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,19,25
108,peugeot 504,11900,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24
109,peugeot 304,13200,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,28,33
110,peugeot 504 (sw),12440,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24
111,peugeot 504,13860,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,25,25
112,peugeot 504,15580,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24
113,peugeot 604sl,16900,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33
114,peugeot 504,16695,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24
115,peugeot 505s turbo diesel,17075,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,25,25
116,peugeot 504,16630,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24
117,peugeot 504,17950,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33
118,peugeot 604sl,18150,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,18,24
119,plymouth fury iii,5572,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41
120,plymouth cricket,7957,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30
121,plymouth fury iii,6229,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38
122,plymouth satellite custom (sw),6692,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38
123,plymouth fury gran sedan,7609,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38
124,plymouth valiant,8921,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30
125,plymouth duster,12764,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,19,24
126,porsche macan,22018,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27
127,porcshce panamera,32528,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25
128,porsche cayenne,34028,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25
129,porsche boxter,37028,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25
130,porsche cayenne,31400.5,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,17,28
131,renault 12tl,9295,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31
132,renault 5 gtl,9895,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31
133,saab 99e,11850,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28
134,saab 99le,12170,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28
135,saab 99le,15040,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28
136,saab 99gle,15510,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28
137,saab 99gle,18150,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,19,26
138,saab 99e,18620,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,19,26
139,subaru,5118,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,31,36
140,subaru dl,7053,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31
141,subaru dl,7603,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31
142,subaru,7126,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37
143,subaru brz,7775,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33
144,subaru baja,9960,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,26,32
145,subaru r1,9233,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,24,25
146,subaru r2,11259,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29
147,subaru trezia,7463,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,28,32
148,subaru tribeca,10198,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,25,31
149,subaru dl,8013,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,23,29
150,subaru dl,11694,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23
151,toyota corona mark ii,5348,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,35,39
152,toyota corona,6338,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,31,38
153,toyota corolla 1200,6488,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,31,38
154,toyota corona hardtop,6918,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,31,37
155,toyota corolla 1600 (sw),7898,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,27,32
156,toyota carina,8778,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,4800,27,32
157,toyota mark ii,6938,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,4800,30,37
158,toyota corolla 1200,7198,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,4800,30,37
159,toyota corona,7898,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,34,36
160,toyota corolla,7788,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47
161,toyota corona,7738,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,38,47
162,toyota corolla,8358,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,28,34
163,toyota mark ii,9258,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,28,34
164,toyota corolla liftback,8058,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,29,34
165,toyota corona,8238,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,29,34
166,toyota celica gt liftback,9298,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29
167,toyota corolla tercel,9538,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29
168,toyota corona liftback,8449,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,24,30
169,toyota corolla,9639,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,24,30
170,toyota starlet,9989,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,24,30
171,toyota tercel,11199,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,24,30
172,toyota corolla,11549,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,24,30
173,toyota cressida,17669,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,24,30
174,toyota corolla,8948,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34
175,toyota celica gt,10698,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33
176,toyota corona,9988,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32
177,toyota corolla,10898,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32
178,toyota mark ii,11248,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32
179,toyota corolla liftback,16558,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,5200,20,24
180,toyota corona,15998,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,5200,19,24
181,toyota starlet,15690,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24
182,toyouta tercel,15750,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24
183,vokswagen rabbit,7775,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,4800,37,46
184,volkswagen 1131 deluxe sedan,7975,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,5250,27,34
185,volkswagen model 111,7995,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,4800,37,46
186,volkswagen type 3,8195,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,5250,27,34
187,volkswagen 411 (sw),8495,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,5250,27,34
188,volkswagen super beetle,9495,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,4500,37,42
189,volkswagen dasher,9995,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,5500,26,32
190,vw dasher,11595,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29
191,vw rabbit,9980,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29
192,volkswagen rabbit,13295,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24
193,volkswagen rabbit custom,13845,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,4500,33,38
194,volkswagen dasher,12290,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,5500,25,31
195,volvo 145e (sw),12940,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28
196,volvo 144ea,13415,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28
197,volvo 244dl,15985,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28
198,volvo 245,16515,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28
199,volvo 264gl,18420,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22
200,volvo diesel,18950,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22
201,volvo 145e (sw),16845,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28
202,volvo 144ea,19045,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25
203,volvo 244dl,21485,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23
204,volvo 246,22470,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,4800,26,27
205,volvo 264gl,22625,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25